"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","15.545382","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","22","22","2","15.886044","0","0"
"Globals","24","707","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","2.552642","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","2.621569","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","40","40","1","61.051819","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.313947","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.329606","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.253739","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","2.604623","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","54","54","1","78.735497","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","84","84","1","213.954285","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","177","177","1","329.204926","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","100","100","1","166.610214","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","205","205","1","333.659760","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","2","2","1","1.254803","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.307562","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","40","40","1","58.894493","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.221774","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.292908","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","20","20","1","28.845924","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","1.312361","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","41","41","1","55.878922","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","20","20","1","29.341213","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","10","1","5.136827","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","2.094056","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","97","97","1","102.428947","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","591","591","1","842.540039","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","27","27","1","33.554829","0","0"
"/Game/03_PROPS/Materials/Note_Mat.Note_Mat","24","20","20","1","29.806360","0","0"
"/Game/03_PROPS/Materials/M_MancheLevier.M_MancheLevier","24","20","20","1","30.121407","0","0"
"/Game/03_PROPS/Materials/M_BaseLevier.M_BaseLevier","24","20","20","1","30.092920","0","0"
"/Game/03_PROPS/Materials/M_TuyauPorte.M_TuyauPorte","24","20","20","1","29.626112","0","0"
"/Game/03_PROPS/Materials/M_Porte.M_Porte","24","35","35","1","53.300888","0","0"
"/Game/03_PROPS/Materials/Note_Mat_UI.Note_Mat_UI","24","9","9","1","5.538951","0","0"
"/Game/03_PROPS/Materials/M_Tiroir.M_Tiroir","24","20","20","1","29.518276","0","0"
"/Game/03_PROPS/Materials/M_Table.M_Table","24","35","35","1","53.466969","0","0"
"/Game/05_VFX/FX_Gameplay/Steam_Particle_Material.Steam_Particle_Material","24","60","60","1","67.792488","0","0"
"/Game/03_PROPS/Materials/M_Generator.M_Generator","24","20","20","1","30.941311","0","0"
"/Game/03_PROPS/Materials/M_Fusible.M_Fusible","24","20","20","1","30.429632","0","0"
"/Game/03_PROPS/Materials/M_Veranda.M_Veranda","24","35","35","1","55.185856","0","0"
"/Game/03_PROPS/Materials/M_Tuyaux_3.M_Tuyaux_3","24","35","35","1","55.060116","0","0"
"/Game/03_PROPS/Materials/M_Tuyaux_2.M_Tuyaux_2","24","35","35","1","53.366161","0","0"
"/Game/03_PROPS/Materials/M_TuyauxCote_2.M_TuyauxCote_2","24","35","35","1","52.715813","0","0"
"/Game/03_PROPS/Materials/M_Library.M_Library","24","35","35","1","52.841068","0","0"
"/Game/03_PROPS/Materials/M_LampePlafond.M_LampePlafond","24","35","35","1","53.413727","0","0"
"/Game/03_PROPS/Materials/M_LampeMural.M_LampeMural","24","35","35","1","53.659134","0","0"
"/Game/03_PROPS/Materials/M_Commode.M_Commode","24","35","35","1","53.181099","0","0"
"/Game/03_PROPS/Materials/M_Canape.M_Canape","24","35","35","1","53.426369","0","0"
"/Game/03_PROPS/Materials/M_Roof.M_Roof","24","35","35","1","54.133209","0","0"
"/Game/03_PROPS/Materials/M_PorteVeranda.M_PorteVeranda","24","35","35","1","55.266006","0","0"
"/Game/03_PROPS/Materials/M_Ground.M_Ground","24","35","35","1","54.195290","0","0"
"/Game/03_PROPS/Materials/M_Colonne.M_Colonne","24","35","35","1","53.552139","0","0"
"/Game/03_PROPS/Materials/M_MurBrique.M_MurBrique","24","35","35","1","53.091682","0","0"
"/Game/03_PROPS/Materials/M_MurPorte.M_MurPorte","24","35","35","1","53.632484","0","0"
"/Game/03_PROPS/Materials/M_MurLong.M_MurLong","24","35","35","1","53.151482","0","0"
"/Game/03_PROPS/Materials/M_Mur.M_Mur","24","35","35","1","53.596096","0","0"
"/Game/03_PROPS/Materials/M_Mur2Faces.M_Mur2Faces","24","35","35","1","52.818855","0","0"
"/Game/03_PROPS/Materials/M_Coin.M_Coin","24","35","35","1","53.443027","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.448310","0","0"
"/Game/03_PROPS/Materials/M_Scotch.M_Scotch","24","20","20","1","29.571447","0","0"
"/Game/03_PROPS/Materials/M_Keys.M_Keys","24","20","20","1","30.118622","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.353804","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.258889","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","105","105","1","155.231323","0","0"
"/Game/03_PROPS/Materials/KeyDoor_Mat.KeyDoor_Mat","24","20","20","1","29.232052","0","0"
"/Game/03_PROPS/Metal.Metal","24","20","20","1","29.055111","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","24","40","40","1","58.288776","0","0"
"/Engine/VREditor/UI/KeyDiskMaterial.KeyDiskMaterial","24","2","2","1","1.341561","0","0"
"/Engine/VREditor/LaserPointer/M_LaserPointer-Core.M_LaserPointer-Core","24","4","4","1","2.933642","0","0"
